,Div,Date,HomeTeam,AwayTeam,FTR,HTCD,ATCD,HTGD,ATGD,HTSD,ATSD,HomeRating(ELO) 0.05,AwayRating(ELO) 0.05,HomeRating(ELO) 0.1,AwayRating(ELO) 0.1,HomeRating(ELO) 0.25,AwayRating(ELO) 0.25,HomeRating(ELO) 0.4,AwayRating(ELO) 0.4,HomeRating(ELO) 0.55,AwayRating(ELO) 0.55,HomeRating(ELO) 0.7,AwayRating(ELO) 0.7,HomeRating(ELO) 0.85,AwayRating(ELO) 0.85,HomeRating(ELO) 0.9,AwayRating(ELO) 0.9,Value Diff,Attack Diff,Mid Game Diff,Defense Diff,Over Game Diff,Estadio,Arbitro,Parametro,Yellow Card/Match,Red Card/Match,% HomeWin,% AwayWin,% DrawWin,_merge
0,SP1,28/08/2010,ID031,ID004,A,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-60300000,-4,-4,-3,-3,José Rico Pérez,Rubinos Pérez,r600000,"5,5","0,47",0.46308724832214765,0.3087248322147651,0.22818791946308725,both
1,SP1,28/08/2010,ID024,ID016,A,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-138000000,-9,-9,-6,-7,Ciutat de Valencia,Pérez Lasa,r600001,"5,77","0,38",0.5,0.2753623188405797,0.2246376811594203,both
2,SP1,28/08/2010,ID029,ID008,A,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-105550000,-13,-6,-3,-6,La Rosaleda,Muñiz Fernández,r600002,"5,98","0,42",0.4801587301587302,0.25793650793650796,0.2619047619047619,both
3,SP1,29/08/2010,ID021,ID010,H,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12000000,0,-2,-4,-1,Cornellà -El Prat,Ayza Gámez,r600004,"4,79","0,38",0.445859872611465,0.3375796178343949,0.21656050955414013,both
4,SP1,29/08/2010,ID028,ID033,D,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6700000,1,3,3,1,Nuevo Riazor,Teixeira Vitienes,r600003,"6,53","0,39",0.4421052631578947,0.3263157894736842,0.23157894736842105,both
5,SP1,29/08/2010,ID028,ID033,D,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6700000,1,3,3,1,Nuevo Riazor,Teixeira Vitienes,r600019,"5,29","0,35",0.42920353982300885,0.29646017699115046,0.2743362831858407,both
6,SP1,29/08/2010,ID015,ID002,D,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-465300000,-11,-10,-9,-9,Ono Estadi,Fernández Borbalán,r600005,"5,39","0,32",0.4385245901639344,0.30327868852459017,0.2581967213114754,both
7,SP1,29/08/2010,ID012,ID020,D,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-15700000,0,2,2,0,Reyno de Navarra,Álvarez Izquierdo,r600006,"5,73","0,38",0.536036036036036,0.22972972972972974,0.23423423423423423,both
8,SP1,29/08/2010,ID032,ID005,A,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-545400000,-11,-12,-10,-10,El Sardinero,Delgado Ferreiro,r600007,"5,1","0,23",0.3893129770992366,0.3511450381679389,0.2595419847328244,both
9,SP1,29/08/2010,ID006,ID014,H,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-103900000,-7,-7,-6,-6,Anoeta,González González,r600008,"4,74","0,22",0.4796380090497738,0.29411764705882354,0.22624434389140272,both
